360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,0,0,0,0,0,0,
360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,0,0,0,0,0,0,
360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,0,0,0,0,0,0,
360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,0,0,0,0,0,
360,360,360,360,720,720,720,720,720,720,720,720,720,720,720,720,720,0,0,0,0,
360,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,360,
720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,
720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,
720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,
720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,
720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,
720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,
720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,
720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,
720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,
720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,
720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,
720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,
360,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,
360,360,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,
360,360,360,360,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,
